id,name,gender,age,traits,status,observations,feature
127,Olivia Smith,female,27,"artistic, imaginative, introverted",graphic designer,Olivia is a friend of Emma's. She enjoys watching art-house films and animations that inspire her graphic designs. Emma and Olivia often share movie recommendations for design inspiration.,Explorer;Poster
128,Daniel Davis,male,33,"disciplined, athletic, focused",gym owner,Daniel is a friend of Joseph's. He enjoys watching sports documentaries and movies. Joseph and Daniel often share movie recommendations to motivate their training sessions.,Watcher;Critic
129,Evelyn Feng,female,29,"helpful, reliable, disciplined",engineer,Evelyn is a friend of Gabriella's. She enjoys watching documentaries about engineering feats and thrillers. Gabriella and Evelyn often share movie recommendations related to engineering concepts.,Explorer;Critic;Chatter
130,Joshua Wilson,male,32,"intellectual, book-lover, introverted",historian,Joshua is a friend of Noah's. He enjoys historical dramas and documentaries. Noah and Joshua often share movie recommendations to deepen their understanding of historical events.,Poster
131,Emily Davis,female,27,"fun-loving, outgoing, adventurous",event planner,Emily is a friend of Addison's. She enjoys watching comedies and romantic dramas. Addison and Emily often share movie recommendations to inspire their event planning ideas.,Watcher;Explorer;Critic
132,Liam Thompson,male,31,"determined, focused, disciplined",personal trainer,Liam is a friend of Samuel's. He enjoys watching sports documentaries and movies. Samuel and Liam often share movie recommendations to motivate their training sessions.,
133,Sophia Wu,female,28,"creative, imaginative, free-spirited",artist,Sophia is a friend of Harper's. She enjoys watching art-house films and animations that inspire her artwork. Harper and Sophia often share movie recommendations for artistic inspiration.,Watcher;Chatter;Poster
134,Benjamin Harris,male,33,"competitive, focused, extroverted",soccer coach,Benjamin is a friend of William's. He enjoys sports documentaries and movies. William and Benjamin often share movie recommendations related to their athletic interests.,Watcher;Critic
135,Ava Xia,female,30,"caring, sociable, extroverted",nurse,Ava is a friend of Chloe's. She enjoys watching medical dramas and uplifting movies. Chloe and Ava often share movie recommendations related to their healthcare professions.,Chatter
136,Matthew Shi,male,31,"intellectual, curious, analytical",scientist,Matthew is a friend of Andrew's. He enjoys watching sci-fi movies and documentaries about scientific discoveries. Andrew and Matthew often share movie recommendations to discuss their scientific interests.,Critic
137,Abigail Cai,female,28,"compassionate, friendly, animal lover",veterinarian,Abigail is a friend of Luna's. She enjoys watching documentaries featuring animals and nature-based movies. Luna and Abigail often share movie recommendations related to veterinary science.,Chatter;Poster
138,Leo White,male,30,"ambitious, confident, extroverted",entrepreneur,Leo is a friend of Jack's. He enjoys watching business dramas and documentaries. Jack and Leo often share movie recommendations related to their entrepreneurial activities.,Watcher;Critic;Poster
139,Madison Shi,female,28,"tech-savvy, curious, introverted",software developer,Madison is a friend of Zoe's. She enjoys watching sci-fi movies and tech documentaries. Zoe and Madison often share movie recommendations to understand new trends in software development.,Critic;Chatter;Poster
140,Zachary Gao,male,32,"organised, reliable, family-oriented",architect,Zachary is a friend of James's. He enjoys watching documentaries about architecture and design. James and Zachary often share movie recommendations for architectural design ideas.,Watcher;Explorer;Critic;Poster
141,Ella Ding,female,27,"artistic, imaginative, introverted",graphic designer,Ella is a friend of Olivia's. She enjoys watching art-house films and animations that inspire her graphic designs. Olivia and Ella often share movie recommendations for design inspiration.,Watcher;Critic;Poster
142,David Xu,male,33,"disciplined, athletic, focused",gym owner,David is a friend of Daniel's. He enjoys watching sports documentaries and movies. Daniel and David often share movie recommendations to motivate their training sessions.,Watcher;Explorer;Critic;Chatter
143,Charlotte Taylor,female,29,"helpful, reliable, disciplined",engineer,Charlotte is a friend of Evelyn's. She enjoys watching documentaries about engineering feats and thrillers. Evelyn and Charlotte often share movie recommendations related to engineering concepts.,Watcher;Critic;Chatter;Poster
144,John Zhu,male,32,"intellectual, book-lover, introverted",historian,John is a friend of Joshua's. He enjoys historical dramas and documentaries. Joshua and John often share movie recommendations to deepen their understanding of historical events.,Watcher
145,Avery Thomas,female,27,"fun-loving, outgoing, adventurous",event planner,Avery is a friend of Emily's. She enjoys watching comedies and romantic dramas. Emily and Avery often share movie recommendations to inspire their event planning ideas.,Critic
146,Lucas Yan,male,31,"determined, focused, disciplined",personal trainer,Lucas is a friend of Liam's. He enjoys watching sports documentaries and movies. Liam and Lucas often share movie recommendations to motivate their training sessions.,Watcher;Critic
147,Scarlett Yan,female,28,"creative, imaginative, free-spirited",artist,Scarlett is a friend of Sophia's. She enjoys watching art-house films and animations that inspire her artwork. Sophia and Scarlett often share movie recommendations for artistic inspiration.,Watcher;Poster
148,Alexander Johnson,male,33,"competitive, focused, extroverted",soccer coach,Alexander is a friend of Benjamin's. He enjoys sports documentaries and movies. Benjamin and Alexander often share movie recommendations related to their athletic interests.,Watcher
149,Grace Pan,female,30,"caring, sociable, extroverted",nurse,Grace is a friend of Ava's. She enjoys watching medical dramas and uplifting movies. Ava and Grace often share movie recommendations related to their healthcare professions.,Watcher;Critic;Poster
150,Michael Chang,male,31,"intellectual, curious, analytical",scientist,Michael is a friend of Matthew's. He enjoys watching sci-fi movies and documentaries about scientific discoveries. Matthew and Michael often share movie recommendations to discuss their scientific interests.,Critic;Poster
151,William Zhang,male,32,"determined, ambitious, outgoing",lawyer,William is a friend of Michael's. He enjoys watching legal dramas and thrillers. Michael and William often share movie recommendations related to their interests in law and justice.,Watcher;Critic
152,Emily Jackson,female,26,"compassionate, friendly, animal lover",veterinarian,Emily is a friend of Olivia's. She enjoys watching documentaries about animals and the environment. Olivia and Emily often share movie recommendations that reflect their love for animals.,Poster
153,Jacob Jones,male,27,"optimistic, easy-going, humorous",stand-up comedian,Jacob is a friend of Jake's. He enjoys watching comedies and light-hearted movies. Jake and Jacob often share movie recommendations for their comedic inspiration.,Poster
154,Madison He,female,30,"nurturing, patient, creative",teacher,Madison is a friend of Grace's. She enjoys watching educational movies and dramas that depict inspiring teacher-student relationships. Grace and Madison often share movie recommendations to discuss their experiences in education.,Watcher;Critic
155,Ethan Xiong,male,33,"adventurous, athletic, team player",mountain guide,Ethan is a friend of Benjamin's. He enjoys watching adventure movies and sports documentaries. Benjamin and Ethan often share movie recommendations to discuss their adventures and challenges.,Critic;Chatter
156,Ava He,female,24,"artistic, introverted, sensitive",painter,Ava is a friend of Scarlett's. She enjoys watching art-house movies and emotional dramas. Scarlett and Ava often share movie recommendations to inspire their artwork.,Critic
157,Daniel Cao,male,35,"intellectual, introverted, philosophical",philosophy professor,Daniel is a friend of Matthew's. He enjoys watching thought-provoking movies and philosophical documentaries. Matthew and Daniel often share movie recommendations to discuss philosophical concepts.,Watcher;Explorer;Critic;Poster
158,Sophia Zhou,female,28,"creative, sociable, imaginative",writer,Sophia is a friend of Emily's. She enjoys watching dramas and romantic movies. Emily and Sophia often share movie recommendations for storytelling inspiration.,Watcher;Explorer;Critic;Poster
159,Matthew Gao,male,36,"analytical, observant, problem-solver",detective,Matthew is a friend of Jacob's. He enjoys watching crime dramas and suspenseful movies. Jacob and Matthew often share movie recommendations to discuss crime-solving strategies.,Watcher;Critic
160,Olivia Yang,female,31,"nurturing, patient, empathetic",nurse,Olivia is a friend of Madison's. She enjoys watching medical dramas and inspirational movies. Madison and Olivia often share movie recommendations to discuss their experiences in healthcare.,Chatter;Poster
161,Andrew He,male,28,"adventurous, athletic, competitive",professional cyclist,Andrew is a friend of Ethan's. He enjoys watching sports movies and documentaries. Ethan and Andrew often share movie recommendations to discuss their athletic experiences.,Watcher;Critic
162,Isabella Anderson,female,25,"artistic, open-minded, free-spirited",indie film director,Isabella is a friend of Ava's. She enjoys watching indie movies and experimental films. Ava and Isabella often share movie recommendations to inspire their creative work.,Explorer;Critic;Poster
163,Joseph Anderson,male,37,"intellectual, methodical, meticulous",historian,Joseph is a friend of Daniel's. He enjoys watching historical dramas and documentaries. Daniel and Joseph often share movie recommendations to discuss historical contexts and interpretations.,Watcher
164,Emma Martinez,female,29,"creative, friendly, energetic",blogger,Emma is a friend of Sophia's. She enjoys watching comedies and romantic movies. Sophia and Emma often share movie recommendations for their content creation.,Watcher;Critic;Poster
165,Anthony Robinson,male,38,"analytical, decisive, resilient",army officer,Anthony is a friend of Matthew's. He enjoys watching war movies and action-packed thrillers. Matthew and Anthony often share movie recommendations to discuss military strategies and leadership.,Poster
166,Mia Feng,female,32,"nurturing, optimistic, patient",daycare provider,Mia is a friend of Olivia's. She enjoys watching family-friendly movies and animated films. Olivia and Mia often share movie recommendations to discuss their experiences with children.,Watcher;Poster
167,James Jones,male,29,"adventurous, independent, resourceful",travel blogger,James is a friend of Andrew's. He enjoys watching travel documentaries and adventure movies. Andrew and James often share movie recommendations to discuss their travel experiences.,Critic
168,Charlotte Xia,female,26,"artistic, thoughtful, curious",book illustrator,Charlotte is a friend of Isabella's. She enjoys watching animated movies and whimsical films. Isabella and Charlotte often share movie recommendations to inspire their artistic designs.,Watcher;Critic
169,David Smith,male,39,"intellectual, curious, innovative",scientist,David is a friend of Joseph's. He enjoys watching science documentaries and futuristic movies. Joseph and David often share movie recommendations to discuss scientific concepts and discoveries.,Watcher;Chatter
170,Harper Taylor,female,30,"creative, ambitious, driven",fashion designer,Harper is a friend of Emma's. She enjoys watching fashion movies and biographies of successful designers. Emma and Harper often share movie recommendations to inspire their creative work.,Watcher
171,John Huang,male,40,"analytical, pragmatic, leader",businessman,John is a friend of Anthony's. He enjoys watching business dramas and documentaries about successful entrepreneurs. Anthony and John often share movie recommendations to discuss business strategies and leadership.,Watcher
172,Abigail Taylor,female,33,"nurturing, joyful, engaging",children's book author,Abigail is a friend of Mia's. She enjoys watching family-friendly movies and animated films. Mia and Abigail often share movie recommendations to inspire their children's stories.,Watcher;Critic;Chatter;Poster
173,Christopher Shi,male,30,"adventurous, charismatic, extroverted",TV show host,Christopher is a friend of James's. He enjoys watching reality TV shows and comedy movies. James and Christopher often share movie recommendations to discuss their experiences in entertainment.,Explorer;Critic
174,Amelia Hu,female,27,"artistic, dreamy, sensitive",poet,Amelia is a friend of Charlotte's. She enjoys watching emotional dramas and romantic movies. Charlotte and Amelia often share movie recommendations to inspire their writing.,Watcher;Critic
175,Robert Williams,male,41,"intellectual, pragmatic, methodical",engineer,Robert is a friend of David's. He enjoys watching documentaries about engineering and technology. David and Robert often share movie recommendations to discuss their work in engineering.,Explorer;Critic
176,Evelyn Zhou,female,31,"creative, vivacious, trendsetter",makeup artist,Evelyn is a friend of Harper's. She enjoys watching beauty vlogs and movies about successful entrepreneurs in the beauty industry. Harper and Evelyn often share movie recommendations to discuss their experiences in the beauty industry.,Poster
177,Richard Zhu,male,42,"analytical, strategic, determined",stockbroker,Richard is a friend of John's. He enjoys watching financial dramas and documentaries about the stock market. John and Richard often share movie recommendations to discuss their experiences in finance.,Critic
178,Elizabeth Xu,female,34,"nurturing, imaginative, kind",kindergarten teacher,Elizabeth is a friend of Abigail's. She enjoys watching family-friendly movies and educational shows. Abigail and Elizabeth often share movie recommendations to inspire their teaching methods.,Critic;Chatter
179,Ryan Garcia,male,31,"adventurous, energetic, spontaneous",photographer,Ryan is a friend of Christopher's. He enjoys watching documentaries about nature and travel. Christopher and Ryan often share movie recommendations to discuss their experiences in photography and travel.,Critic;Chatter;Poster
180,Avery Xu,female,28,"artistic, independent, insightful",independent filmmaker,Avery is a friend of Amelia's. She enjoys watching indie movies and thought-provoking dramas. Amelia and Avery often share movie recommendations to inspire their storytelling.,Critic
181,Mark Lin,male,43,"intellectual, practical, thorough",architect,Mark is a friend of Robert's. He enjoys watching documentaries about architecture and design. Robert and Mark often share movie recommendations to discuss their work in architecture.,Chatter
182,Scarlett Chen,female,32,"creative, enthusiastic, motivated",event planner,Scarlett is a friend of Evelyn's. She enjoys watching romantic comedies and movies about successful event planners. Evelyn and Scarlett often share movie recommendations to discuss their experiences in event planning.,Watcher;Critic
183,Paul Martin,male,44,"analytical, diligent, reliable",accountant,Paul is a friend of Richard's. He enjoys watching financial dramas and movies about successful entrepreneurs. Richard and Paul often share movie recommendations to discuss their experiences in finance.,Watcher;Critic;Chatter;Poster
184,Victoria Johnson,female,35,"nurturing, patient, compassionate",therapist,Victoria is a friend of Elizabeth's. She enjoys watching dramas and movies that evoke deep emotions. Elizabeth and Victoria often share movie recommendations to discuss their experiences in therapy.,
185,Justin Zheng,male,32,"adventurous, enthusiastic, creative",music producer,Justin is a friend of Ryan's. He enjoys watching music documentaries and dramas. Ryan and Justin often share movie recommendations to discuss their experiences in the music industry.,Watcher;Poster
186,Grace Brown,female,29,"artistic, intuitive, perceptive",abstract artist,Grace is a friend of Avery's. She enjoys watching art-house films and movies that offer unique storytelling. Avery and Grace often share movie recommendations to inspire their artwork.,
187,Brian Moore,male,45,"intellectual, resourceful, decisive",IT consultant,Brian is a friend of Mark's. He enjoys watching tech-focused movies and documentaries. Mark and Brian often share movie recommendations to discuss the latest trends in technology.,Chatter;Poster
188,Chloe Zhou,female,33,"creative, social, optimistic",wedding planner,Chloe is a friend of Scarlett's. She enjoys watching romantic comedies and dramas. Scarlett and Chloe often share movie recommendations to discuss their experiences in wedding planning.,Watcher;Poster
189,Steven Zou,male,46,"analytical, punctual, disciplined",auditor,Steven is a friend of Paul's. He enjoys watching financial thrillers and documentaries. Paul and Steven often share movie recommendations to discuss their experiences in finance.,Watcher;Explorer
190,Bella Wang,female,36,"nurturing, empathetic, intuitive",psychologist,Bella is a friend of Victoria's. She enjoys watching dramas and movies that delve into the human psyche. Victoria and Bella often share movie recommendations to discuss their experiences in psychology.,Critic;Chatter
191,Luke Zhao,male,33,"adventurous, innovative, trendsetter",YouTuber,Luke is a friend of Justin's. He enjoys watching vlogs and comedies. Justin and Luke often share movie recommendations to discuss their experiences in digital content creation.,Poster
192,Zoey Moore,female,30,"artistic, introverted, imaginative",graphic designer,Zoey is a friend of Grace's. She enjoys watching animations and visually stunning movies. Grace and Zoey often share movie recommendations to inspire their designs.,Watcher;Explorer;Chatter;Poster
193,Ronald Huang,male,47,"intellectual, practical, inventive",inventor,Ronald is a friend of Brian's. He enjoys watching movies and documentaries about inventions and technology. Brian and Ronald often share movie recommendations to discuss their inventive ideas.,Chatter;Poster
194,Hazel Liu,female,34,"creative, enthusiastic, visionary",interior designer,Hazel is a friend of Chloe's. She enjoys watching design-focused shows and movies. Chloe and Hazel often share movie recommendations to discuss their design ideas.,Watcher
195,Edward Lai,male,48,"analytical, meticulous, principled",judge,Edward is a friend of Steven's. He enjoys watching legal dramas and crime thrillers. Steven and Edward often share movie recommendations to discuss their experiences in law.,Critic
196,Eleanor Xu,female,35,"artistic, social, empathetic",art therapist,Eleanor is a friend of Scarlett's. She enjoys watching documentaries that explore human emotions and behaviors. She also loves romantic dramas that tug at the heartstrings.,Watcher;Critic;Chatter
197,Miles Yang,male,30,"ambitious, outgoing, charismatic",real estate agent,Miles is a colleague of Benjamin's. He enjoys watching movies about success stories and documentaries about architecture and city planning. He and Benjamin often discuss the urban landscapes depicted in the movies they watch.,Watcher;Chatter
198,Theodore Williams,male,28,"intellectual, quiet, patient",librarian,Theodore is a friend of Matthew's. He enjoys watching classic films and thought-provoking documentaries. Matthew and Theodore often share book and movie recommendations.,Watcher
199,Zoe Zou,female,29,"outgoing, energetic, playful",dance instructor,Zoe is a friend of Ava's. She enjoys musicals and dance movies that inspire her choreography. Ava and Zoe often share movie recommendations related to their artistic interests.,Poster
200,Calvin Sun,male,31,"analytical, reserved, diligent",engineer,Calvin is a colleague of Michael's. He enjoys watching sci-fi movies and documentaries that focus on technological advancements. Michael and Calvin often discuss the futuristic technology depicted in the movies they watch.,Watcher;Chatter
201,James Garcia,male,28,"thoughtful, introverted, book lover",Writing a novel,"James is a friend of Eve's who shares her love of books. Currently, he is writing a novel. James enjoys watching thought-provoking movies that challenge his perceptions and stimulate his mind. He also appreciates the occasional suspenseful thriller.",Critic;Poster
202,Victoria Yuan,female,33,"optimistic, sociable, sporty",Works in marketing,"Victoria is a colleague of Michael's in the marketing department. She enjoys playing sports in her free time. When it comes to movies, Victoria loves inspiring sports movies, heart-warming comedies, and gripping dramas.",Watcher;Chatter
203,Alex Huang,male,37,"adventurous, easy-going, family-oriented",Has two kids and a dog,"Alex is Tommie's neighbour and a family man. He loves to take his kids and dog on various adventures. Alex enjoys watching family-friendly movies, action-packed adventure films, and comedies.",Chatter;Poster
204,Grace Han,female,30,"intelligent, analytical, movie buff",Works as a film critic,"Grace is a university friend of Sophia's. Her job as a film critic means she watches a wide range of movies, but she has a particular fondness for film noir, classic movies, and well-made horror films.",Watcher;Explorer;Chatter
205,Luke Zheng,male,32,"creative, persistent, tech-savvy",Working on a tech startup,"Luke is Jake's colleague at the tech startup. Luke loves sci-fi movies, especially ones that explore futuristic technology. He also enjoys a good mystery.",Watcher;Critic
206,Emma Sun,female,28,"kind, animal lover, active",Volunteers at animal shelter,"Emma is a friend of Olivia's, both sharing a deep love for animals. Emma loves movies that feature animals, as well as romantic comedies and feel-good dramas.",Watcher;Explorer;Chatter;Poster
207,Nathan Lin,male,33,"funny, charismatic, laid-back",Stand-up comedian,Nathan is a friend of Lily's. His job as a stand-up comedian means he's always on the lookout for funny movies to inspire his routines. He also enjoys watching action movies.,Watcher;Critic;Poster
208,Kate Zhou,female,26,"ambitious, diligent, detail-oriented",Works in finance,"Kate works with Rachel in the finance department. She prefers watching documentaries, especially ones that revolve around the economy, and intriguing dramas.",Watcher;Critic;Poster
209,Ryan Hu,male,27,"introverted, gamer, observant",Works as a game tester,Ryan is a friend of Sen's. They often discuss their favourite video games. Ryan loves movies with great plot twists and ones based on video games.,Watcher;Explorer;Critic
210,Mia Huang,female,31,"compassionate, empathetic, likes cooking",Chef,"Mia is a friend of Eve's. She is a chef and enjoys cooking-themed movies, romantic comedies, and heart-warming dramas.",Explorer;Critic
211,Max Davis,male,34,"intelligent, innovative, likes new things",Working on a Ph.D.,"Max is a university friend of Lei's. He often watches movies during his breaks and loves sci-fi films, musicals, and comedies.",Poster
212,Anna Chen,female,29,"adventurous, likes design, talkative",Graphic designer,Anna is a new client of Tommie's. She loves watching movies that offer unique storytelling and visually stunning cinematography.,Watcher;Chatter
213,Oliver Zhu,male,35,"organized, reliable, patient",Teacher,Oliver is a colleague of Michael's. He enjoys watching family-friendly movies and historical dramas.,Critic
214,Lily Ma,female,28,"creative, free-spirited, compassionate",Painter,Lily is a friend of Sophia's. She enjoys watching art-house films and romantic comedies.,Poster
215,Harry Davis,male,33,"intellectual, introverted, philosophical",Philosophy Professor,Harry is a friend of Jake's. He enjoys watching thought-provoking dramas and documentaries.,Critic;Poster
216,Isabella Chen,female,25,"outgoing, fun-loving, adventurous",Tour guide,Isabella is a friend of Lily's. She enjoys watching action movies and comedies.,Watcher;Explorer;Critic;Chatter
217,Benjamin Guo,male,30,"ambitious, hardworking, confident",Business owner,Benjamin is a colleague of Rachel's. He enjoys watching documentaries and dramas.,Explorer;Poster
218,Lucy Davis,female,27,"introverted, cautious, quick-tempered",Computer programmer,Lucy is a colleague of Sen's. She enjoys watching suspense dramas and comedies.,Poster
219,Noah Taylor,male,26,"compassionate, friendly, animal lover",Vet,"Noah is a colleague of Olivia's. He enjoys watching movies that evoke strong emotions, such as dramas and documentaries.",Chatter
220,Ella Xie,female,23,"helpful, likes new and cool things",Student,"Ella is a friend of Lei's. She enjoys watching musicals, comedies, and sci-fi movies.",Watcher
221,George Martinez,male,35,"analytical, introverted, musical",Music producer,"George is a friend of James'. He enjoys films with excellent soundtracks, and appreciates a good drama or comedy.",Explorer
222,Sophie Johnson,female,30,"enthusiastic, sociable, fashion-conscious",Fashion designer,"Sophie is a friend of Victoria's. She adores fashion-focused films, romance, and engaging dramas.",Watcher;Critic;Poster
223,Leo Xie,male,40,"active, family-oriented, pet lover",Vet,"Leo is a neighbour of Alex's. He loves family-friendly movies, especially if they include animals, and action films.",
224,Emily Davis,female,33,"intelligent, bookworm, film critic",Journalist,"Emily is a friend of Grace's. As a journalist, she watches a wide range of films but particularly enjoys documentaries and thrillers.",Watcher;Critic;Chatter
225,Charlie Cao,male,37,"tech-savvy, creative, entrepreneur",Tech startup CEO,"Charlie is a colleague of Luke's. He loves films that explore futuristic concepts, particularly sci-fi, and also enjoys mysteries.",Watcher
226,Hannah Harris,female,31,"animal lover, kind, outgoing",Zookeeper,"Hannah is a friend of Emma's. She enjoys films featuring animals, as well as heartwarming dramas and comedies.",Watcher;Critic;Chatter
227,Jack Moore,male,34,"charismatic, funny, relaxed",Actor,Jack is a friend of Nathan's. He enjoys watching a range of films for his profession but particularly likes comedies and action films.,Poster
228,Ava Lai,female,28,"ambitious, diligent, fitness lover",Fitness instructor,"Ava is a friend of Kate's. She enjoys documentaries on health and fitness, and dramas.",Critic
229,Liam Garcia,male,32,"observant, introverted, gamer",Game developer,Liam is a colleague of Ryan's. He loves films with plot twists and those based on video games.,Watcher;Critic;Poster
230,Isabelle Zhao,female,29,"empathetic, likes cooking, friendly",Restaurant owner,Isabelle is a friend of Mia's. She enjoys cooking-themed films and romantic dramas.,Watcher
231,Thomas Thomas,male,33,"innovative, intellectual, enjoys new things",Researcher,"Thomas is a friend of Max's. He enjoys sci-fi films, musicals, and comedies.",Critic;Chatter;Poster
232,Amelia White,female,27,"outgoing, adventurous, design lover",Interior designer,"Amelia is a friend of Anna's. She loves films with excellent set design, particularly period dramas.",Chatter;Poster
233,Henry Williams,male,37,"patient, organized, family-oriented",Homemaker,Henry is a friend of Oliver's. He enjoys family-friendly films and historical dramas.,Watcher
234,Charlotte Xia,female,28,"compassionate, creative, free-spirited",Writer,Charlotte is a friend of Lily's. She enjoys art-house films and romantic comedies.,Watcher;Chatter
235,Alfie Gao,male,34,"introverted, intellectual, philosophical",Writer,Alfie is a friend of Harry's. He enjoys thought-provoking dramas and documentaries.,Chatter;Poster
236,Evelyn Jackson,female,26,"adventurous, outgoing, fun-loving",Travel blogger,Evelyn is a friend of Isabella's. She enjoys action films and comedies.,Critic
237,Arthur Shi,male,31,"hardworking, ambitious, confident",Corporate lawyer,Arthur is a colleague of Benjamin's. He enjoys documentaries and dramas.,Critic;Chatter;Poster
238,Madison Xia,female,28,"cautious, introverted, tech-savvy",Software engineer,Madison is a colleague of Lucy's. She enjoys suspense dramas and comedies.,
239,Theodore Johnson,male,26,"friendly, compassionate, animal lover",Pet groomer,Theodore is a colleague of Noah's. He enjoys films that evoke strong emotions and documentaries.,Explorer;Critic
240,Harper Gao,female,24,"likes new and cool things, helpful, tech-obsessed",Tech blogger,"Harper is a friend of Ella's. She enjoys musicals, comedies, and sci-fi films.",Watcher;Critic
241,Abigail Gao,female,35,"analytical, introverted, musical",Music teacher,"Abigail is a friend of George's. She enjoys films with excellent soundtracks, and appreciates a good drama or comedy.",Watcher;Poster
242,Samuel Lai,male,30,"enthusiastic, sociable, fashion-conscious",Fashion blogger,"Samuel is a friend of Sophie's. He adores fashion-focused films, romance, and engaging dramas.",Critic;Chatter
243,Zoe Zhang,female,40,"active, family-oriented, pet lover",Dog trainer,"Zoe is a neighbor of Leo's. She loves family-friendly movies, especially if they include animals, and action films.",Explorer
244,Oscar Martinez,male,33,"intelligent, bookworm, film critic",Book critic,"Oscar is a friend of Emily's. As a critic, he watches a wide range of films but particularly enjoys documentaries and thrillers.",Watcher;Chatter
245,Elijah Harris,male,37,"tech-savvy, creative, entrepreneur",Software developer,"Elijah is a colleague of Charlie's. He loves films that explore futuristic concepts, particularly sci-fi, and also enjoys mysteries.",Watcher;Critic
246,Chloe Xu,female,31,"animal lover, kind, outgoing",Wildlife conservationist,"Chloe is a friend of Hannah's. She enjoys films featuring animals, as well as heartwarming dramas and comedies.",Watcher;Critic
247,Aaron Gao,male,34,"charismatic, funny, relaxed",Comedian,Aaron is a friend of Jack's. He enjoys watching a range of films for his profession but particularly likes comedies and action films.,Watcher
248,Lilly Miller,female,28,"ambitious, diligent, fitness lover",Gym owner,"Lilly is a friend of Ava's. She enjoys documentaries on health and fitness, and dramas.",Explorer;Critic;Poster
249,Logan Moore,male,32,"observant, introverted, gamer",Game designer,Logan is a colleague of Liam's. He loves films with plot twists and those based on video games.,Watcher
250,Eleanor Johnson,female,29,"empathetic, likes cooking, friendly",Food blogger,Eleanor is a friend of Isabelle's. She enjoys cooking-themed films and romantic dramas.,Explorer;Critic
251,Jacob Jones,male,33,"innovative, intellectual, enjoys new things",Inventor,"Jacob is a friend of Thomas's. He enjoys sci-fi films, musicals, and comedies.",Watcher;Explorer;Chatter
252,Sarah Shi,female,27,"outgoing, adventurous, design lover",Architect,"Sarah is a friend of Amelia's. She loves films with excellent set design, particularly period dramas.",Watcher;Chatter
253,Joseph Guo,male,37,"patient, organized, family-oriented",Kindergarten teacher,Joseph is a friend of Henry's. He enjoys family-friendly films and historical dramas.,Watcher;Critic
254,Elizabeth Zhao,female,28,"compassionate, creative, free-spirited",Art therapist,Elizabeth is a friend of Charlotte's. She enjoys art-house films and romantic comedies.,
255,William Ma,male,34,"introverted, intellectual, philosophical",Philosophy teacher,William is a friend of Alfie's. He enjoys thought-provoking dramas and documentaries.,Critic;Chatter
256,Samantha Chang,female,26,"adventurous, outgoing, fun-loving",Event planner,Samantha is a friend of Evelyn's. She enjoys action films and comedies.,Poster
257,Ben Xu,male,31,"hardworking, ambitious, confident",Bank manager,Ben is a colleague of Arthur's. He enjoys documentaries and dramas.,Watcher;Explorer;Critic;Poster
258,Lucy Jackson,female,28,"cautious, introverted, tech-savvy",Data analyst,Lucy is a colleague of Madison's. She enjoys suspense dramas and comedies.,Critic
259,Mason Martin,male,26,"friendly, compassionate, animal lover",Animal rescuer,"Mason is a colleague of Theodore's. He enjoys films that evoke strong emotions, such as dramas and heart-warming documentaries.",Explorer
260,Ivy Wu,female,23,"helpful, likes new things, trendy",Fashion student,"Ivy is a friend of Harper's. She enjoys musicals, comedies, and sci-fi films.",Watcher;Chatter
261,Emily Johnson,female,37,"optimistic, outdoorsy, loves to travel",Travel blogger,Emily is a friend of Oscar's. She loves adventure movies and romantic comedies that give her a sense of wanderlust.,Watcher;Critic
262,Liam Xu,male,33,"analytical, introverted, book lover",Librarian,"Liam is a friend of Logan's. He loves mysteries, historical dramas, and literary adaptations.",Watcher;Chatter
263,Oliver Zhao,male,29,"energetic, friendly, music lover",Music producer,"Oliver is a friend of Aaron's. He enjoys musicals, comedies, and anything with a good soundtrack.",Explorer;Critic
264,Isabelle Thompson,female,28,"creative, fashion-forward, social",Fashion designer,"Isabelle is a friend of Eleanor's. She loves fashion films, romantic comedies, and independent films with unique storytelling.",Watcher;Critic;Poster
265,Theodore Harris,male,31,"caring, animal lover, nature enthusiast",Veterinarian,"Theodore is a colleague of Mason's. He enjoys nature documentaries, animal films, and heartwarming dramas.",Watcher;Critic
266,Hannah Miller,female,25,"sociable, likes to cook, family-oriented",Food critic,"Hannah is a friend of Chloe's. She loves cooking shows, family dramas, and lighthearted comedies.",Watcher;Critic;Chatter
267,Ella Xiong,female,28,"helpful, tech-savvy, active",Software tester,"Ella is a colleague of Elijah's. She loves sci-fi, action films, and anything related to technology.",Watcher;Chatter;Poster
268,Harper Ma,female,30,"outgoing, fun-loving, adventurous",Travel guide,"Harper is a friend of Ivy's. She enjoys action-packed movies, comedies, and travel documentaries.",Explorer
269,Arthur Robinson,male,35,"ambitious, reliable, organized",Office manager,"Arthur is a colleague of Ben's. He loves dramas, biopics, and documentaries that provide insight into different cultures and eras.",Critic
270,Charlotte Williams,female,33,"compassionate, creative, free-spirited",Painter,"Charlotte is a friend of Elizabeth's. She loves art-house films, romantic comedies, and visually stunning films.",Chatter
271,Mila Han,female,34,"friendly, extroverted, loves music",DJ,"Mila is a friend of Oliver's. She enjoys movies with great soundtracks, musicals, and romantic films.",Critic
272,Sophia Guo,female,28,"outgoing, loves to cook, sociable",Chef,"Sophia is a friend of Hannah's. She enjoys cooking shows, romantic comedies, and anything related to food.",Critic
